"","Rec_area","Location","visit_date","Year","Month","Day","Ec_per100mL","Mc_ugL","month_day","sample_count"
"112","Suffern Lake Beach","suffern lake",2019-08-26,"2019",8,26,"1.5","0.099","08-26",3
"113","Sun Dale Beach","last mountain lake",2019-06-25,"2019",6,25,"3.2","0.099","06-25",91
"114","Sun Dale Beach","last mountain lake",2019-07-31,"2019",7,31,"35.85","0.099","07-31",91
"115","Sun Dale Beach","last mountain lake",2019-08-28,"2019",8,28,"35.85","0.099","08-28",91
"116","Sunset Beach","crooked lake",2019-08-19,"2019",8,19,"1.51","5","08-19",12
"117","Thode Subdivision Beach Area","blackstrap lake",2019-07-30,"2019",7,30,"10.03","2.5","07-30",12
"118","Turtle Lake South Bay Public Beach","turtle lake",2019-07-09,"2019",7,9,"0.32","0.099","07-09",2
"119","War Veteran's Park Beach","lac ile a la crosse",2019-07-24,"2019",7,24,"0.78","0.099","07-24",2
"120","Washington Beach","methy lake",2019-07-23,"2019",7,23,"0.89","0.099","07-23",1
"121","Welwyn Centennial Regional Park Beach","qu'appelle river",2019-07-25,"2019",7,25,"11.53","0.099","07-25",1
"122","Bird's Point Beach","round lake",2020-08-11,"2020",8,11,"3.32","0.099","08-11",5
"123","B-Say Tah Beach","echo lake",2020-06-28,"2020",6,28,"1.22","0.099","06-28",56
"124","B-Say Tah Beach","echo lake",2020-07-22,"2020",7,22,"10.58","0.099","07-22",56
"125","B-Say Tah Beach","echo lake",2020-08-20,"2020",8,20,"10.51","0.099","08-20",56
"126","Buffalo Pound Provincial Park Beach","buffalo pound lake",2020-07-15,"2020",7,15,"2.19","0.099","07-15",9
"127","Buffalo Pound Provincial Park Beach","buffalo pound lake",2020-08-13,"2020",8,13,"2","0.099","08-13",9
"128","Cabri Regional Park Beach","lake diefenbaker",2020-07-27,"2020",7,27,"7.24","0.099","07-27",22
"129","Cabri Regional Park Beach","lake diefenbaker",2020-08-25,"2020",8,25,"62","0.099","08-25",22
"130","Danielson Visitor’s Center Beach","lake diefenbaker",2020-07-07,"2020",7,7,"60.51","5","07-07",22
"131","Echo Bible Camp Beach","echo lake",2020-08-18,"2020",8,18,"1.35","0.099","08-18",56
"132","Echo Provincial Park Beach","echo lake",2020-06-29,"2020",6,29,"5.52","0.099","06-29",56
"133","Echo Provincial Park Beach","echo lake",2020-07-09,"2020",7,9,"6.22","0.099","07-09",56
"134","Echo Provincial Park Beach","echo lake",2020-07-16,"2020",7,16,"26.12","0.099","07-16",56
"135","Echo Provincial Park Beach","echo lake",2020-07-23,"2020",7,23,"13.55","0.099","07-23",56
"136","Echo Provincial Park Beach","echo lake",2020-07-29,"2020",7,29,"17.77","0.099","07-29",56
"137","Echo Provincial Park Beach","echo lake",2020-08-06,"2020",8,6,"15.63","0.099","08-06",56
"138","Echo Provincial Park Beach","echo lake",2020-08-13,"2020",8,13,"24.62","0.099","08-13",56
"139","Echo Provincial Park Beach","echo lake",2020-08-20,"2020",8,20,"1.49","0.099","08-20",56
"140","Echo Provincial Park Beach","echo lake",2020-08-25,"2020",8,25,"7.86","0.099","08-25",56
"141","Echo Provincial Park Beach","echo lake",2020-09-01,"2020",9,1,"20.26","0.099","09-01",56
"142","Etter's Beach","last mountain lake",2020-07-21,"2020",7,21,"28.35","0.099","07-21",91
"143","Fort Campground Beach","echo lake",2020-06-25,"2020",6,25,"36.52","0.099","06-25",56
"144","Fort Campground Beach","echo lake",2020-06-26,"2020",6,26,"7.72","0.099","06-26",56
"145","Fort Campground Beach","echo lake",2020-07-30,"2020",7,30,"0.74","0.099","07-30",56
"146","Fort Campground Beach","echo lake",2020-08-18,"2020",8,18,"0.32","0.099","08-18",56
"147","Glen Harbour Beach","last mountain lake",2020-08-17,"2020",8,17,"2.81","0.099","08-17",91
"148","Island View Main Beach Area","last mountain lake",2020-08-17,"2020",8,17,"2.95","0.099","08-17",91
"149","Katepwa Beach","katepwa lake",2020-06-29,"2020",6,29,"0.55","0.099","06-29",40
"150","Katepwa Beach","katepwa lake",2020-07-09,"2020",7,9,"1.17","0.099","07-09",40
"151","Katepwa Beach","katepwa lake",2020-07-16,"2020",7,16,"6.02","0.099","07-16",40
"152","Katepwa Beach","katepwa lake",2020-07-23,"2020",7,23,"4.14","0.099","07-23",40
"153","Katepwa Beach","katepwa lake",2020-07-30,"2020",7,30,"5.71","0.099","07-30",40
"154","Katepwa Beach","katepwa lake",2020-08-06,"2020",8,6,"2.29","0.099","08-06",40
"155","Katepwa Beach","katepwa lake",2020-08-13,"2020",8,13,"1.4","0.099","08-13",40
"156","Katepwa Beach","katepwa lake",2020-08-20,"2020",8,20,"1.49","0.099","08-20",40
"157","Katepwa Beach","katepwa lake",2020-08-25,"2020",8,25,"2.44","0.099","08-25",40
"158","Katepwa Beach","katepwa lake",2020-09-01,"2020",9,1,"11.76","0.099","09-01",40
"159","Kivimaa-Moonlight Bay Public Beach","turtle lake",2020-07-20,"2020",7,20,"0.25","0.099","07-20",2
"160","Last Mountain Lake Regional Park Main Beach Area","last mountain lake",2020-07-28,"2020",7,28,"1.86","0.099","07-28",91
"161","Lumsden Beach","last mountain lake",2019-06-24,"2019",6,24,"2.15","0.099","06-24",91
"162","Lumsden Beach","last mountain lake",2020-07-15,"2020",7,15,"51.06","0.099","07-15",91
"163","Lumsden Beach","last mountain lake",2020-08-23,"2020",8,23,"10.22","0.099","08-23",91
"164","Marean Lake Beach","marean lake",2020-07-09,"2020",7,9,"0.32","0.099","07-09",3
"165","Meeting Lake Regional Park Beach","meeting lake",2020-08-27,"2020",8,27,"0.15","0.099","08-27",1
"166","Ministik Beach","madge lake",2020-08-04,"2020",8,4,"4.17","0.099","08-04",7
"167","Missinipi Beach","churchill river",2020-07-29,"2020",7,29,"9.13","0.099","07-29",1
"168","Mohr’s Beach","last mountain lake",2020-08-17,"2020",8,17,"5.25","0.099","08-17",91
"169","Moose Creek Regional Park Beach","alameda dam",2020-07-06,"2020",7,6,"11.65","0.099","07-06",2
"170","Moosomin Regional Park Beach","moosomin lake",2020-08-04,"2020",8,4,"6.41","0.099","08-04",3
"171","Nickle Lake Regional Park Beach","nickle lake",2020-08-06,"2020",8,6,"4.27","0.099","08-06",2
"172","Pasqua Lake Beach","pasqua lake",2020-08-06,"2020",8,6,"5.15","0.099","08-06",2
"173","Pelican Pointe Beach","last mountain lake",2020-08-27,"2020",8,27,"35.48","5","08-27",91
"174","Poplar Beach","wakaw lake",2020-07-27,"2020",7,27,"10.7","0.099","07-27",8
"175","Poplar Beach","wakaw lake",2020-08-25,"2020",8,25,"5.42","0.099","08-25",8
"176","Pruden’s Point Beach","tobin lake",2020-07-07,"2020",7,7,"0.52","0.099","07-07",1
"177","Regina Beach","last mountain lake",2020-08-25,"2020",8,25,"7.72","0.099","08-25",91
"178","Rowan's Ravine Provincial Park Main Beach Area","last mountain lake",2020-07-28,"2020",7,28,"6.67","1","07-28",91
"179","Sandy Beach Lake Regional Park Public Beach","sandy beach lake",2020-08-04,"2020",8,4,"0.89","0.099","08-04",1
"180","Saskatchewan Beach","last mountain lake",2020-08-27,"2020",8,27,"6.17","0.099","08-27",91
"181","Sask Landing Provincial Park Beach (Cottonwood)","lake diefenbaker",2020-08-19,"2020",8,19,"1.49","0.099","08-19",22
"182","Sorensen Beach","last mountain lake",2020-06-28,"2020",6,28,"4.22","0.099","06-28",91
"183","Sorensen Beach","last mountain lake",2020-07-27,"2020",7,27,"10.48","0.099","07-27",91
"184","Sorensen Beach","last mountain lake",2020-08-29,"2020",8,29,"34.78","0.099","08-29",91
"185","Struthers Lake Regional Park Beach","struthers lake",2020-08-25,"2020",8,25,"8","0.099","08-25",1
"186","Sun Dale Beach","last mountain lake",2020-06-23,"2020",6,23,"51.11","0.099","06-23",91
"187","Sun Dale Beach","last mountain lake",2020-07-27,"2020",7,27,NA,NA,"07-27",91
"188","Sun Dale Beach","last mountain lake",2020-07-30,"2020",7,30,"41.42","0.099","07-30",91
"189","Sun Dale Beach","last mountain lake",2020-08-26,"2020",8,26,"3.66","0.099","08-26",91
"190","Sunset Beach Beach","crooked lake",2020-08-11,"2020",8,11,"16.8","0.099","08-11",12
"191","War Veteran's Park Beach","lac ile a la crosse",2020-08-19,"2020",8,19,"6.28","0.099","08-19",2
"192","South Flotten Lake Campground","",2022-07-26,"2022",7,26,"52.84","0.099","07-26",101
"193","Howe Bay Campground","",2022-08-16,"2022",8,16,"2.18","0.099","08-16",101
"194","Greig Lake Public Beach","",2022-08-09,"2022",8,9,"73.53","0.099","08-09",101
"195","Murray Doell Campground","",2022-08-16,"2022",8,16,"8.27","0.099","08-16",101
"196","War Veteran's Park Beach","",2022-07-19,"2022",7,19,"2.17","0.099","07-19",101
"197","Wadin Bay Beach","",2022-08-22,"2022",8,22,"2.25","0.099","08-22",101
"198","La Ronge Beach","",2022-08-09,"2022",8,9,"12.76","0.099","08-09",101
"199","Morin Lake Regional Park","",2022-07-25,"2022",7,25,"0.43","0.099","07-25",101
"200","Atton’s Lake Regional Park","",2022-08-22,"2022",8,22,"7.52","0.099","08-22",101
"201","Suffern Lake Regional Park","",2022-08-22,"2022",8,22,"2.52","0.099","08-22",101
"202","Silver Lake Regional Park","",2022-08-22,"2022",8,22,"0.78","0.099","08-22",101
"203","Little Fishing Lake Beach","",2022-07-19,"2022",7,19,"4","0.099","07-19",101
"204","Peck Lake Campground","",2022-07-19,"2022",7,19,"8.97","0.099","07-19",101
"205","Turtle Lake Sunset View Beach","",2022-08-23,"2022",8,23,"0","0.099","08-23",101
"206","Battlefords Provincial Park","",2022-08-23,"2022",8,23,"81.59","0.099","08-23",101
"207","Resort Village of Aquadeo Beach","jackfish lake",2022-08-23,"2022",8,23,"959.05","0.099","08-23",12
"208","Resort Village of Aquadeo Beach","jackfish lake",2022-08-31,"2022",8,31,"384.44","0.099","08-31",12
"209","Resort Village of Aquadeo Beach","jackfish lake",2022-09-01,"2022",9,1,"914.65","0.099","09-01",12
"210","Memorial Lake Regional Park","",2022-07-26,"2022",7,26,"11.66","0.099","07-26",101
"211","Meeting Lake Regional Park","",2022-07-25,"2022",7,25,"0.89","0.099","07-25",101
"212","Wakaw Lake Regional Park","",2022-07-26,"2022",7,26,"5.38","0.099","07-26",101
"213","Poplar Beach","",2022-06-14,"2022",6,14,"82.53","0.099","06-14",101
"214","Poplar Beach","",2022-07-18,"2022",7,18,"10.27","0.099","07-18",101
"215","Poplar Beach","",2022-08-22,"2022",8,22,"0.78","0.099","08-22",101
"216","Sturgeon Lake Regional Park","",2022-07-27,"2022",7,27,"4.19","0.099","07-27",101
"217","Anderson Point Campground","",2022-07-19,"2022",7,19,"0.64","0.099","07-19",101
"218","Minnowaka Beach","",2022-07-28,"2022",7,28,"0.64","0.099","07-28",101
"219","Sandy Bay Campground Beach","candle lake",2022-07-28,"2022",7,28,"1.35","0.099","07-28",5
"220","Little Bear Beach","",2022-07-28,"2022",7,28,"0.58","0.099","07-28",101
"221","Smits Beach","",2022-07-05,"2022",7,5,"19.34","0.099","07-05",101
"222","St. Brieux Beach","",2022-07-07,"2022",7,7,"3.28","0.099","07-07",101
"223","Greenwater Beach","",2022-08-02,"2022",8,2,"63.01","0.099","08-02",101
"224","Kipabiskau Regional Park","",2022-07-07,"2022",7,7,"0.15","0.099","07-07",101
"225","Danielson’s Visitor Centre","lake diefenbaker",2022-07-18,"2022",7,18,"20.5","0.099","07-18",22
"226","Danielson’s Visitor Centre","lake diefenbaker",2022-08-15,"2022",8,15,"3.42","0.099","08-15",22
"227","Crystal Bay/Sunset Beach","",2022-08-23,"2022",8,23,"0.25","0.099","08-23",101
"228","Prairie Lake Regional Park","",2022-07-18,"2022",7,18,"55.71","0.099","07-18",101
"229","Sask Landing (Cottonwood Beach)","lake diefenbaker",2022-08-15,"2022",8,15,"0.64","0.099","08-15",22
"230","Rowan's Ravine Provincial Park Main Beach Area","last mountain lake",2022-06-28,"2022",6,28,"6.16","0.099","06-28",91
"231","Rowan's Ravine Provincial Park Main Beach Area","last mountain lake",2022-07-25,"2022",7,25,"7.3","0.099","07-25",91
"232","Rowan's Ravine Provincial Park Main Beach Area","last mountain lake",2022-08-29,"2022",8,29,"373.38","0.099","08-29",91
"233","Rowan's Ravine Provincial Park Main Beach Area","last mountain lake",2022-08-31,"2022",8,31,"53.55","0.099","08-31",91
"234","Rowan's Ravine Provincial Park Main Beach Area","last mountain lake",2022-09-02,"2022",9,2,"83.47","0.099","09-02",91
"235","Marean Lake Beach","marean lake",2022-08-02,"2022",8,2,"14.05","0.099","08-02",3
"236","Lady Beach","lady lake",2022-07-19,"2022",7,19,"3.17","0.099","07-19",2
