Rec_area,Location,Date,Ec_per100mL,Mc_ugL
Katepwa Beach, Katepwa Lake,2023-08-23,4.02,0.099
Katepwa Beach, Katepwa Lake,2023-08-29,1.58,0.099
Katepwa Beach, Katepwa Lake,2023-09-06,54.09,0.099
Kevin Misfeldt Beach Area Beach, ,2023-08-09,2.7,0.099
Kevin Misfeldt Beach Area Beach, ,2023-08-22,1,0.099
Kimball Lake Campground Beach,Meadow Lake,2023-07-12,1,0.099
Kimball Lake Campground Beach,Meadow Lake,2023-07-25,2.35,0.099
Kimball Lake Campground Beach,Meadow Lake,2023-08-08,1,0.099
Kimball Lake Campground Beach,Meadow Lake,2023-08-22,2.35,0.099
Kipabiskau Beach, ,2023-07-27,1,0.099
Leroy Leisureland Main Beach/Pool Area, ,2023-07-04,96.4,0.099
Leroy Leisureland Main Beach/Pool Area, ,2023-07-25,1,0.099
Leroy Leisureland Main Beach/Pool Area, ,2023-08-01,1,0.099
Leroy Leisureland Main Beach/Pool Area, ,2023-08-15,397.8,17.6
Leroy Leisureland Main Beach/Pool Area, ,2023-08-21,2.24,0.099
Leslie Beach Regional Park Beach,Fishing Lake,2023-06-27,1.25,0.099
Leslie Beach Regional Park Beach,Fishing Lake,2023-07-11,1.32,0.099
Leslie Beach Regional Park Beach,Fishing Lake,2023-07-25,5.37,0.099
Leslie Beach Regional Park Beach,Fishing Lake,2023-08-08,1,0.099
Leslie Beach Regional Park Beach,Fishing Lake,2023-08-22,193.33,0.099
Leslie Beach Regional Park Beach,Fishing Lake,2023-08-29,2.55,0.099
Little Manitou Beach,Little Manitou,2023-06-27,4.48,0.099
Little Manitou Beach,Little Manitou,2023-07-10,10.41,0.099
Little Manitou Beach,Little Manitou,2023-07-24,2.51,0.099
Little Manitou Beach,Little Manitou,2023-08-08,NA,0.099
Little Manitou Beach,Little Manitou,2023-08-21,1,0.099
Lumsden Beach, Last Mountain Lake,2023-06-25,4.48,0.099
Lumsden Beach, Last Mountain Lake,2023-07-23,1.64,0.099
Lumsden Beach, Last Mountain Lake,2023-08-06,3.89,0.099
Lumsden Beach, Last Mountain Lake,2023-08-20,59.66,0.099
Marean Lake Beach, ,2023-07-27,97.05,0.099
Melville Beach,Crooked lake,2023-06-26,6.82,0.099
Melville Beach,Crooked lake,2023-07-10,1.32,0.099
Melville Beach,Crooked lake,2023-07-25,3.41,0.099
Melville Beach,Crooked lake,2021-08-09,1.32,0.099
Melville Beach,Crooked lake,2023-08-21,20.47,0.099
Melville Beach,Crooked lake,2023-09-05,1.25,0.099
Ministik Beach,Madge lake,2023-07-09,1.43,0.099
Ministik Beach,Madge lake,2023-07-18,1.58,0.099
Ministik Beach,Madge lake,2023-08-01,2.08,0.099
Ministik Beach,Madge lake,2023-08-16,5.33,0.099
Ministik Beach,Madge lake,2023-08-29,6.57,0.099
Ministikwan Lake Campground/Picnic Beach, ,2023-08-15,3.52,0.099
Moose Mountain Provincial Park Beach, ,2023-07-10,1.32,0.099
Moose Mountain Provincial Park Beach, ,2023-08-22,1.43,0.099
Moosomin Regional Park, ,2023-07-04,2.7,0.099
Moosomin Regional Park, ,2023-07-17,2.86,0.099
Moosomin Regional Park, ,2023-07-24,2.93,0.099
Moosomin Regional Park, ,2023-07-31,1,0.099
Moosomin Regional Park, ,2023-08-14,1.38,0.099
Morin Lake Regional Park Beach,Morin Lake,2023-06-26,1.72,0.099
Morin Lake Regional Park Beach,Morin Lake,2023-07-10,1.15,0.099
Morin Lake Regional Park Beach,Morin Lake,2023-07-24,4.64,0.099
Morin Lake Regional Park Beach,Morin Lake,2023-08-09,1,0.099
Morin Lake Regional Park Beach,Morin Lake,2023-08-21,1.15,0.099
Palliser Regional Park Beach, ,2023-07-25,55.08,0.099
Palliser Regional Park Beach, ,2023-08-07,1.62,0.099
Pickerel Point Beach, ,2023-07-09,1,0.099
Pickerel Point Beach,,2023-07-18,1,0.099
Pickerel Point Beach,,2023-08-01,1,0.099
Pickerel Point Beach,,2023-08-16,1,0.099
Pickerel Point Beach,,2023-08-29,1.32,0.099
Pike Lake Main Beach,Pike Lake,2023-07-12,1.15,0.099
Pike Lake Main Beach,Pike Lake,2023-07-25,1.25,0.099
Pike Lake Main Beach,Pike Lake,2023-07-31,1,0.099
Pike Lake Main Beach,Pike Lake,2023-08-14,3.5,0.099
Pike Lake Main Beach,Pike Lake,2023-08-28,1.15,0.099
Poplar Beach Resort Beach, ,2023-07-11,4.22,0.099
Poplar Beach Resort Beach,,2023-08-15,4.82,0.099
Poplar Beach Resort Beach,,2023-09-05,9.34,0.099
Regina Beach, Last Mountain Lake,2023-06-26,5,0.099
Regina Beach, Last Mountain Lake,2023-07-04,4.64,0.099
Regina Beach, Last Mountain Lake,2023-07-10,4.1,0.099
Regina Beach, Last Mountain Lake,2023-07-18,19.47,0.099
Regina Beach, Last Mountain Lake,2023-07-24,8.69,0.099
Regina Beach, Last Mountain Lake,2023-08-02,20.9,0.099
Regina Beach, Last Mountain Lake,2023-08-09,7.27,0.099
Regina Beach, Last Mountain Lake,2023-08-16,105.6,0.099
Regina Beach, Last Mountain Lake,2023-08-22,9.13,0.099
Regina Beach, Last Mountain Lake,2023-08-30,37.37,0.099
Regina Beach, Last Mountain Lake,2023-08-31,6.95,NA
Regina Beach, Last Mountain Lake,2023-09-05,22.68,0.099
Resort Village of Aquadeo,Jackfish Lake,2023-07-09,18.94,0.099
Resort Village of Aquadeo,Jackfish Lake,2023-07-23,4.32,0.099
Resort Village of Aquadeo,Jackfish Lake,2023-08-07,1.58,0.099
Resort Village of Aquadeo,Jackfish Lake,2023-08-20,2.45,0.099
Resort Village of Cochin,Jackfish Lake,2023-08-15,1,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2023-06-26,5.8,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2023-07-04,9.61,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2023-07-10,2.6,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2023-07-18,4.64,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2023-07-24,3.87,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2023-08-02,1.15,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2023-08-09,4.32,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2023-08-16,268.5,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2023-08-22,6.56,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2023-08-30,331.1,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2023-08-31,64.57,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2023-09-05,17.44,0.099
Sandy Bay Campground Beach,Candle Lake,2023-07-11,2.17,0.099
Sandy Bay Campground Beach,Candle Lake,2023-08-09,1.89,0.099
Sandy Bay Campground Beach,Candle Lake,2023-08-28,2.51,0.099
Sask Landing Provincial Park Beach (Cottonwood), ,2023-07-18,12,0.099
Sask Landing Provincial Park Beach (Cottonwood),,2023-08-01,1,0.099
Sask Landing Provincial Park Beach (Cottonwood),,2023-08-14,1,0.099
Sask Landing Provincial Park Beach (Cottonwood),,2023-08-29,1,0.099
St. Brieux Beach, ,2023-07-27,1,0.099
Stabler Point Beach, ,2023-06-27,6.82,0.099
Stabler Point Beach, ,2023-07-12,1.32,0.099
Stabler Point Beach, ,2023-07-25,4.28,0.099
Stabler Point Beach, ,2023-08-08,3.17,0.099
Stabler Point Beach, ,2023-08-22,1.15,0.099
Stoney Beach,Stoney Beach Lake,2023-07-13,1.3,34
Stoney Beach,Stoney Beach Lake,2023-07-17,1.32,69.9
Stoney Beach,Stoney Beach Lake,2023-08-01,1,17.6
Stoney Beach,Stoney Beach Lake,2023-08-15,1.49,5
Stoney Beach,Stoney Beach Lake,2023-08-30,3.29,0.099
Sunnyside Beach,,2023-08-10,2.61,0.099
Sunnyside Beach, ,2023-08-29,2.7,0.099
Sunset Bay Beach, ,2023-07-11,1.64,0.099
Thode Subdivision Beach Area,Blackstrap Lake,2023-07-12,1.15,0.099
Thode Subdivision Beach Area,Blackstrap Lake,2023-08-09,1.15,0.099
Thode Subdivision Beach Area,Blackstrap Lake,2023-08-23,1.25,5
Wakaw Lake Regional Park Main Beach,Wakaw Lake,2023-07-03,4.74,0.099
Wakaw Lake Regional Park Main Beach,Wakaw Lake,2023-07-17,3.1,0.099
Wakaw Lake Regional Park Main Beach,Wakaw Lake,2023-08-01,1.43,0.099
Wakaw Lake Regional Park Main Beach,Wakaw Lake,2023-08-14,1.43,0.099
Wakaw Lake Regional Park Main Beach,Wakaw Lake,2023-08-28,2.51,0.099
Waskateena Beach,,2023-08-09,1.15,0.099
Waskateena Beach, ,2023-08-28,12.84,0.099
