Rec_area,Location,Date,Ec_per100mL,Mc_ugL
Nickle Lake Regional Park Beach,Nickle Lake,2020-08-06,4.27,0.099
Pasqua Lake Beach,Pasqua Lake,2020-08-06,5.15,0.099
Pelican Pointe Beach,Last Mountain Lake,2020-08-27,35.48,5
Poplar Beach Resort Beach,Wakaw Lake,2020-07-27,10.7,0.099
Poplar Beach Resort Beach,Wakaw Lake,2020-08-25,5.42,0.099
Pruden’s Point Beach,Tobin Lake,2020-07-07,0.52,0.099
Regina Beach,Last Mountain Lake,2020-08-25,7.72,0.099
Rowan's Ravine Provincial Park Main Beach Area,Last Mountain Lake,2020-07-28,6.67,1
Sandy Beach Lake Regional Park Public Beach,Sandy Beach Lake,2020-08-04,0.89,0.099
Saskatchewan Beach,Last Mountain Lake,2020-08-27,6.17,0.099
Sask Landing Provincial Park Beach (Cottonwood),Lake Diefenbaker,2020-08-19,1.49,0.099
Sorensen Beach,Last Mountain Lake,2020-06-28,4.22,0.099
Sorensen Beach,Last Mountain Lake,2020-07-27,10.48,0.099
Sorensen Beach,Last Mountain Lake,2020-08-29,34.78,0.099
Struthers Lake Regional Park Beach,Struthers Lake,2020-08-25,8,0.099
Sun Dale Beach,Last Mountain Lake,2020-06-23,51.11,0.099
Sun Dale Beach,Last Mountain Lake,2020-07-27,NA,NA
Sun Dale Beach,Last Mountain Lake,2020-07-30,41.42,0.099
Sun Dale Beach,Last Mountain Lake,2020-08-26,3.66,0.099
Sunset Beach Beach,Crooked lake,2020-08-11,16.8,0.099
War Veteran's Park Beach,Lac Ile a la Crosse,2020-08-19,6.28,0.099
South Flotten Lake Campground, ,2022-07-26,52.84,0.099
Howe Bay Campground, ,2022-08-16,2.18,0.099
Greig Lake Public Beach, ,2022-08-09,73.53,0.099
Murray Doell Campground, ,2022-08-16,8.27,0.099
War Veteran's Park Beach, ,2022-07-19,2.17,0.099
Wadin Bay Beach, ,2022-08-22,2.25,0.099
La Ronge Beach, ,2022-08-09,12.76,0.099
Morin Lake Regional Park, ,2022-07-25,0.43,0.099
Atton’s Lake Regional Park, ,2022-08-22,7.52,0.099
Suffern Lake Regional Park, ,2022-08-22,2.52,0.099
Silver Lake Regional Park, ,2022-08-22,0.78,0.099
Little Fishing Lake Beach, ,2022-07-19,4,0.099
Peck Lake Campground, ,2022-07-19,8.97,0.099
Turtle Lake Sunset View Beach, ,2022-08-23,0,0.099
Battlefords Provincial Park, ,2022-08-23,81.59,0.099
Resort Village of Aquadeo Beach,Jackfish Lake,2022-08-23,959.05,0.099
Resort Village of Aquadeo Beach,Jackfish Lake,2022-08-31,384.44,0.099
Resort Village of Aquadeo Beach,Jackfish Lake,2022-09-01,914.65,0.099
Memorial Lake Regional Park, ,2022-07-26,11.66,0.099
Meeting Lake Regional Park, ,2022-07-25,0.89,0.099
Wakaw Lake Regional Park, ,2022-07-26,5.38,0.099
Poplar Beach, ,2022-06-14,82.53,0.099
Poplar Beach, ,2022-07-18,10.27,0.099
Poplar Beach, ,2022-08-22,0.78,0.099
Sturgeon Lake Regional Park, ,2022-07-27,4.19,0.099
Anderson Point Campground, ,2022-07-19,0.64,0.099
Minnowaka Beach, ,2022-07-28,0.64,0.099
Sandy Bay Campground Beach,Candle Lake,2022-07-28,1.35,0.099
Little Bear Beach, ,2022-07-28,0.58,0.099
Smits Beach, ,2022-07-05,19.34,0.099
St. Brieux Beach, ,2022-07-07,3.28,0.099
Greenwater Beach, ,2022-08-02,63.01,0.099
Kipabiskau Regional Park, ,2022-07-07,0.15,0.099
Danielson’s Visitor Centre,Lake Diefenbaker,2022-07-18,20.5,0.099
Danielson’s Visitor Centre,Lake Diefenbaker,2022-08-15,3.42,0.099
Crystal Bay/Sunset Beach, ,2022-08-23,0.25,0.099
Prairie Lake Regional Park, ,2022-07-18,55.71,0.099
Sask Landing (Cottonwood Beach),Lake Diefenbaker,2022-08-15,0.64,0.099
Rowans Ravine Beach,Last Mountain Lake,2022-06-28,6.16,0.099
Rowans Ravine Beach,Last Mountain Lake,2022-07-25,7.3,0.099
Rowans Ravine Beach,Last Mountain Lake,2022-08-29,373.38,0.099
Rowans Ravine Beach,Last Mountain Lake,2022-08-31,53.55,0.099
Rowans Ravine Beach,Last Mountain Lake,2022-09-02,83.47,0.099
Marean Lake Beach,Marean Lake,2022-08-02,14.05,0.099
Lady Beach,Lady Lake,2022-07-19,3.17,0.099
Annie Laurie Beach,Annie Laurie Lake,2022-07-19,5.27,0.099
Sandy Beach, ,2022-07-12,NA,0.099
Canora Beach, ,2022-07-12,7.29,0.099
Bird's Point Beach,Round Lake,2022-08-09,2.1,0.099
West End Resort, ,2022-08-09,1.27,0.099
Sunset Beach,Crooked lake,2022-08-09,482.19,0.099
Sunset Beach,Crooked lake,2022-08-15,7.66,0.099
Sunset Beach,Crooked lake,2022-08-18,131.19,0.099
Last Mountain Regional Park Beach,Last Mountain Lake,2022-06-28,1.55,0.099
Last Mountain Regional Park Beach,Last Mountain Lake,2022-07-25,35.8,0.099
Camp Whitesand Beach, ,2022-07-19,0.43,0.099
Leroy Leisureland Beach, ,2022-07-11,19.23,0.099
Lovering Lake Beach, ,2022-08-09,24.67,0.099
Lovering Lake Beach, ,2022-08-15,1.3,NA
Lovering Lake Beach, ,2022-08-18,5.98,0.099
Aspen Grove Beach,Blackstrap Lake,2022-07-19,0.32,1
Kevin Misfeldt Beach, ,2022-07-19,0.25,0.099
Thode Subdivision Beach,Blackstrap Lake,2022-07-19,7.89,0.099
Stoney Beach,Humboldt Lake,2022-07-18,13.44,0.099
Stoney Beach,Humboldt Lake,2022-08-15,3.29,5
Pike Lake Beach,Pike Lake,2022-08-30,8.55,0.1
Manitou Lake Main Beach,Manitou Lake,2022-07-14,0.62,6214.2
Manitou Lake Main Beach,Manitou Lake,2022-08-08,740.14,90.7
Regina Beach, Last Mountian Lake,2022-06-23,5.54,0.099
Regina Beach, Last Mountian Lake,2022-07-24,5.17,0.099
Regina Beach, Last Mountian Lake,2022-08-10,5.09,0.099
Lumsden Beach,Last Mountain Lake,2022-06-26,9.2,0.099
Lumsden Beach,Last Mountain Lake,2022-07-18,12.55,0.099
Lumsden Beach,Last Mountain Lake,2022-08-08,35.88,0.099
Sorenson Beach,Last Mountain Lake,2022-06-26,2.95,0.099
Sorenson Beach,Last Mountain Lake,2022-07-26,30.01,0.099
Sorenson Beach,Last Mountain Lake,2022-08-29,23.41,0.099
Sun dale Beach,Last Mountain Lake,2022-06-28,38.7,0.099
Sun dale Beach,Last Mountain Lake,2022-07-27,14.85,0.099
Sun dale Beach,Last Mountain Lake,2022-08-04,171.18,NA
Sun dale Beach,Last Mountain Lake,2022-08-09,10.78,0.099
Sun dale Beach,Last Mountain Lake,2022-08-10,4.66,0.099
Pelican Pointe,Last Mountain Lake,2022-08-02,12.88,0.099
Etters Beach, ,2022-08-02,101.02,0.099
Etters Beach, ,2022-08-04,17.87,NA
Cabri Regional Park, ,2022-08-08,1.05,0.099
Boundary Dam Beach, ,2022-09-01,0.64,0.099
Nickle Lake Regional Park, ,2022-07-18,8.6,0.099
Moose Creek Regional Park, ,2022-09-01,2.81,0.099
Fort Campground Beach, ,2022-07-18,3.72,0.099
Pasqua Lake Beach, Pasqua lake,2022-07-11,33.63,0.099
Echo Provincial Park Beach, Echo Lake,2022-06-27,2.02,0.099
Echo Provincial Park Beach, Echo Lake,2022-07-05,5.04,0.099
Echo Provincial Park Beach, Echo Lake,2022-07-11,3.17,0.099
Echo Provincial Park Beach, Echo Lake,2022-07-18,1.55,0.099
Echo Provincial Park Beach, Echo Lake,2022-07-26,2.25,0.099
Echo Provincial Park Beach, Echo Lake,2022-08-03,2.44,0.099
Echo Provincial Park Beach, Echo Lake,2022-08-08,4.51,0.099
Echo Provincial Park Beach, Echo Lake,2022-08-16,9.95,0.099
Echo Provincial Park Beach, Echo Lake,2022-08-24,2.29,0.099
